<<<<<<< HEAD
DATE,FEDFUNDS,S&P/ASX 200,NASDAQ,TSX,FTSE100
01/12/2017,1.3,6065,6903,16209,7688
01/01/2018,1.41,6038,7411,15952,7534
01/02/2018,1.42,6016,7273,15443,7232
01/03/2018,1.51,5759,7063,15367,7057
01/04/2018,1.69,5983,7066,15608,7509
01/05/2018,1.7,6012,7442,16062,7678
01/06/2018,1.82,6195,7510,16278,7637
01/07/2018,1.91,6280,7672,16434,7749
01/08/2018,1.91,6320,8110,16263,7432
01/09/2018,1.95,6208,8046,16073,7510
01/10/2018,2.19,5830,7306,15027,7128
01/11/2018,2.2,5667,7331,15198,6980
01/12/2018,2.27,5646,6635,14323,6728
01/01/2019,2.4,5865,7282,15541,6969
01/02/2019,2.4,6169,7533,15999,7075
01/03/2019,2.41,6181,7729,16102,7279
01/04/2019,2.42,6326,8095,16581,7418
01/05/2019,2.39,6397,7453,16037,7162
01/06/2019,2.38,6619,8006,16382,7426
01/07/2019,2.4,6813,8175,16407,7587
01/08/2019,2.13,6604,7963,16442,7207
01/09/2019,2.04,6688,7999,16659,7408
01/10/2019,1.83,6663,8292,16483,7248
01/11/2019,1.55,6846,8665,17040,7347
01/12/2019,1.55,6684,8973,17063,7542
01/01/2020,1.55,7017,9151,17318,7286
01/02/2020,1.58,6441,8567,16263,6581
01/03/2020,0.65,5077,7700,13379,5672
01/04/2020,0.05,5522,8890,14781,5901
01/05/2020,0.05,5756,9490,15193,6077
01/06/2020,0.08,5898,10059,15515,6170
01/07/2020,0.09,5928,10745,16169,5898
01/08/2020,0.1,6061,11775,16514,5964
01/09/2020,0.09,5816,11168,16121,5866
01/10/2020,0.09,5928,10912,15581,5577
01/11/2020,0.09,6518,12199,17190,6266
01/12/2020,0.09,6587,12888,17433,6461
01/01/2021,0.09,6607,13071,17337,6407
01/02/2021,0.08,6673,13192,18060,6483
01/03/2021,0.07,6791,13247,18701,6714
01/04/2021,0.07,7026,13963,19108,6970
01/05/2021,0.06,7162,13749,19731,7023
01/06/2021,0.08,7313,14504,20166,7037
01/07/2021,0.1,7393,14673,20288,7032
01/08/2021,0.09,7535,15259,20583,7120
01/09/2021,0.08,7332,14449,20070,7086
01/10/2021,0.08,7324,15498,21037,7238
01/11/2021,0.08,7256,15538,20660,7059
01/12/2021,0.08,7445,15645,21223,7385
01/01/2022,0.08,6972,14240,21098,7464
01/02/2022,0.08,7049,13751,21126,7458
01/03/2022,0.2,7500,14221,21890,7516
01/04/2022,0.33,7435,12335,20762,7545
01/05/2022,0.77,7211,12081,20729,7608
01/06/2022,1.21,6568,11029,18861,7169
01/07/2022,1.68,6945,12391,19693,7423
01/08/2022,2.33,6987,11816,19331,7284
01/09/2022,2.56,6461,10576,18444,6894
01/10/2022,3.08,6864,10988,19426,7095
=======
DATE,FEDFUNDS,S&P/ASX 200, NASDAQ  , TSX ,FTSE100
1/10/2012,0.16,4517,2977,12423,5783
1/11/2012,0.16,4506,3010,12239,5867
1/12/2012,0.16,4649,3020,12434,5898
1/01/2013,0.14,4879,3142,12685,6277
1/02/2013,0.15,5104,3160,12822,6361
1/03/2013,0.14,4967,3268,12750,6412
1/04/2013,0.15,5191,3329,12457,6430
1/05/2013,0.11,4927,3456,12650,6583
1/06/2013,0.09,4803,3403,12129,6215
1/07/2013,0.09,5052,3626,12487,6621
1/08/2013,0.08,5135,3590,12654,6413
1/09/2013,0.08,5219,3771,12787,6462
1/10/2013,0.09,5426,3920,13361,6731
1/11/2013,0.08,5320,4060,13395,6651
1/12/2013,0.09,5352,4177,13622,6749
1/01/2014,0.07,5190,4104,13695,6510
1/02/2014,0.07,5405,4308,14210,6810
1/03/2014,0.08,5395,4199,14335,6598
1/04/2014,0.09,5489,4115,14652,6780
1/05/2014,0.09,5493,4243,14604,6845
1/06/2014,0.1,5396,4408,15146,6744
1/07/2014,0.09,5633,4370,15331,6730
1/08/2014,0.09,5626,4580,15626,6820
1/09/2014,0.09,5293,4493,14961,6623
1/10/2014,0.09,5527,4631,14613,6546
1/11/2014,0.09,5313,4792,14745,6723
1/12/2014,0.12,5411,4736,14632,6566
1/01/2015,0.11,5588,4635,14673,6749
1/02/2015,0.11,5929,4964,15234,6947
1/03/2015,0.11,5892,4901,14902,6773
1/04/2015,0.12,5790,4941,15225,6961
1/05/2015,0.12,5777,5070,15014,6984
1/06/2015,0.13,5459,4987,14553,6521
1/07/2015,0.13,5699,5128,14468,6696
1/08/2015,0.14,5207,4777,13859,6248
1/09/2015,0.14,5022,4620,13307,6062
1/10/2015,0.12,5239,5054,13529,6361
1/11/2015,0.12,5167,5109,13470,6356
1/12/2015,0.24,5296,5007,13010,6242
1/01/2016,0.34,5006,4614,12822,6084
1/02/2016,0.38,4881,4558,12860,6097
1/03/2016,0.36,5083,4870,13494,6175
1/04/2016,0.37,5252,4775,13951,6242
1/05/2016,0.37,5379,4948,14066,6231
1/06/2016,0.38,5233,4843,14065,6504
1/07/2016,0.39,5562,5162,14583,6724
1/08/2016,0.4,5433,5213,14598,6782
1/09/2016,0.4,5436,5312,14726,6899
1/10/2016,0.4,5318,5189,14787,6954
1/11/2016,0.41,5441,5324,15083,6784
1/12/2016,0.54,5666,5383,15288,7143
1/01/2017,0.65,5621,5615,15386,7099
1/02/2017,0.66,5712,5825,15399,7263
1/03/2017,0.79,5865,5912,15548,7323
1/04/2017,0.9,5924,6048,15586,7204
1/05/2017,0.91,5725,6199,15350,7520
1/06/2017,1.04,5722,6140,15182,7313
1/07/2017,1.15,5721,6348,15144,7372
1/08/2017,1.16,5715,6429,15212,7431
1/09/2017,1.15,5682,6496,15635,7373
1/10/2017,1.15,5909,6728,16026,7493
1/11/2017,1.16,5970,6874,16067,7327
1/12/2017,1.3,6065,6903,16209,7688
1/01/2018,1.41,6038,7411,15952,7534
1/02/2018,1.42,6016,7273,15443,7232
1/03/2018,1.51,5759,7063,15367,7057
1/04/2018,1.69,5983,7066,15608,7509
1/05/2018,1.7,6012,7442,16062,7678
1/06/2018,1.82,6195,7510,16278,7637
1/07/2018,1.91,6280,7672,16434,7749
1/08/2018,1.91,6320,8110,16263,7432
1/09/2018,1.95,6208,8046,16073,7510
1/10/2018,2.19,5830,7306,15027,7128
1/11/2018,2.2,5667,7331,15198,6980
1/12/2018,2.27,5646,6635,14323,6728
1/01/2019,2.4,5865,7282,15541,6969
1/02/2019,2.4,6169,7533,15999,7075
1/03/2019,2.41,6181,7729,16102,7279
1/04/2019,2.42,6326,8095,16581,7418
1/05/2019,2.39,6397,7453,16037,7162
1/06/2019,2.38,6619,8006,16382,7426
1/07/2019,2.4,6813,8175,16407,7587
1/08/2019,2.13,6604,7963,16442,7207
1/09/2019,2.04,6688,7999,16659,7408
1/10/2019,1.83,6663,8292,16483,7248
1/11/2019,1.55,6846,8665,17040,7347
1/12/2019,1.55,6684,8973,17063,7542
1/01/2020,1.55,7017,9151,17318,7286
1/02/2020,1.58,6441,8567,16263,6581
1/03/2020,0.65,5077,7700,13379,5672
1/04/2020,0.05,5522,8890,14781,5901
1/05/2020,0.05,5756,9490,15193,6077
1/06/2020,0.08,5898,10059,15515,6170
1/07/2020,0.09,5928,10745,16169,5898
1/08/2020,0.1,6061,11775,16514,5964
1/09/2020,0.09,5816,11168,16121,5866
1/10/2020,0.09,5928,10912,15581,5577
1/11/2020,0.09,6518,12199,17190,6266
1/12/2020,0.09,6587,12888,17433,6461
1/01/2021,0.09,6607,13071,17337,6407
1/02/2021,0.08,6673,13192,18060,6483
1/03/2021,0.07,6791,13247,18701,6714
1/04/2021,0.07,7026,13963,19108,6970
1/05/2021,0.06,7162,13749,19731,7023
1/06/2021,0.08,7313,14504,20166,7037
1/07/2021,0.1,7393,14673,20288,7032
1/08/2021,0.09,7535,15259,20583,7120
1/09/2021,0.08,7332,14449,20070,7086
1/10/2021,0.08,7324,15498,21037,7238
1/11/2021,0.08,7256,15538,20660,7059
1/12/2021,0.08,7445,15645,21223,7385
1/01/2022,0.08,6972,14240,21098,7464
1/02/2022,0.08,7049,13751,21126,7458
1/03/2022,0.2,7500,14221,21890,7516
1/04/2022,0.33,7435,12335,20762,7545
1/05/2022,0.77,7211,12081,20729,7608
1/06/2022,1.21,6568,11029,18861,7169
1/07/2022,1.68,6945,12391,19693,7423
1/08/2022,2.33,6987,11816,19331,7284
1/09/2022,2.56,6461,10576,18444,6894
1/10/2022,3.08,6864,10988,19426,7095
>>>>>>> 420ce2a1ca3d7a98b436c3f6bc35a2cfa8d356c5
